ID,Files
9665,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
4114,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
6758,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
9867,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
0219,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
1795,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
0237,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
5770,"mzdata/MSMSpos10_MM48_1_2-F,1_01_18473.mzData"
9665,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
4114,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
6758,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
9867,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
0219,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
1795,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
0237,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
5770,"mzdata/MSMSpos15_MM48_1_2-F,1_01_18485.mzData"
9665,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
4114,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
6785,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
9867,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
0219,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
1795,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
0237,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
5770,"mzdata/MSMSpos20_MM48_1_2-F,2_01_18497.mzData"
